StudentID,Name,Age,Gender,Program,Year,AttendancePercent,CGPA,EnrolledDate,Status,ScholarshipStatus,HostelResident,PlacementStatus,TotalFeeINR,FeePaidINR,PendingFeeINR,FeeStatus,City,State
S0052,Tanmayi Memon,25,Female,B.Tech (CSE),2,73.22,5.61,28-12-2024,Active,Yes,Yes,,600000,380656.47,69343.53,Partial,Chennai,Tamil Nadu
S0053,Abdul Andra,22,Male,B.Com,2,96.6,8.65,09-06-2025,On Leave,Yes,Yes,,250000,50661.22,74338.78,Partial,Cochin,Kerala
S0054,Ekani Dua,24,Male,MCA,2,78.7,5.7,18-05-2024,Dropped,Yes,Yes,Placed,350000,109450.27,153049.73,Partial,Chandigarh,Punjab
S0055,Agastya Bansal,24,Male,B.Sc (Maths),1,60.76,8.18,11-09-2024,Graduated,Yes,Yes,,200000,70025.54,79974.46,Partial,Chandigarh,Punjab
S0056,Nicholas Hegde,18,Female,MBA,1,95.61,8.19,22-02-2023,Dropped,Yes,Yes,Not Placed,450000,127111.4,97888.6,Partial,Bengaluru,Karnataka
S0057,Jairaj Mohan,23,Male,B.Tech (ECE),1,79.12,5.1,15-01-2025,Dropped,Yes,No,,550000,218220.01,56779.99,Partial,Chennai,Tamil Nadu
S0058,Hema Lala,20,Male,B.Tech (ECE),1,80.14,8.34,13-04-2022,Active,Yes,No,,550000,289695.31,122804.69,Partial,Bhopal,Madhya Pradesh
S0059,Tripti Boase,22,Female,B.Tech (ECE),1,85.17,9.47,14-07-2022,On Leave,No,Yes,,550000,303307.87,246692.13,Partial,Kolkata,West Bengal
S0060,Sanaya Din,18,Female,B.Tech (ECE),4,71.13,8.35,18-04-2023,Graduated,Yes,Yes,Placed,550000,196626.79,78373.21,Partial,Pune,Maharashtra
S0061,Yutika Bava,25,Male,B.Com,1,61.73,8.47,15-12-2024,On Leave,No,No,,250000,240361.68,9638.32,Partial,Chandigarh,Punjab
S0062,Bahadurjit Seshadri,24,Female,MBA,1,95,5.37,28-10-2023,Active,Yes,No,Not Placed,450000,185135.2,39864.8,Partial,Delhi,Delhi
S0063,Daniel Dey,20,Male,B.Sc (Physics),1,68.84,7.12,11-12-2021,Active,Yes,No,,220000,58700.84,51299.16,Partial,Pune,Maharashtra
S0064,Champak Nayak,18,Male,B.Tech (CSE),2,80.26,7.4,25-05-2022,Active,Yes,No,,600000,306850.06,143149.94,Partial,Jaipur,Rajasthan
S0065,Chandran Prasad,24,Female,B.Tech (CSE),1,71.38,8.58,20-09-2021,Active,No,Yes,,600000,571567.44,28432.56,Partial,Delhi,Delhi
S0066,Gabriel Sankaran,18,Female,BBA,2,66.42,5.61,04-12-2024,Dropped,No,No,,300000,291425.05,8574.95,Partial,Jaipur,Rajasthan
S0067,Vedika Mohan,18,Male,B.Sc (Physics),3,84.64,8.14,04-03-2023,Graduated,No,Yes,,220000,211713.72,8286.28,Partial,Chennai,Tamil Nadu
S0068,Naksh Bahri,20,Male,BBA,2,68.22,9.02,08-06-2022,Dropped,Yes,Yes,,300000,96277.91,53722.09,Partial,Bhopal,Madhya Pradesh
S0069,Laban Kakar,23,Female,B.Sc (Physics),1,85.75,9.23,18-02-2023,Dropped,Yes,No,,220000,88719.96,21280.04,Partial,Bengaluru,Karnataka
S0070,Vritti Yadav,25,Male,MCA,1,77.45,5.49,27-01-2024,On Leave,Yes,No,Not Placed,350000,144997.06,30002.94,Partial,Pune,Maharashtra
S0071,Bina Jhaveri,23,Female,B.Tech (CSE),3,88.5,7.46,23-10-2023,Dropped,Yes,No,,600000,103023.59,196976.41,Partial,Jaipur,Rajasthan
S0072,Ayushman Bawa,20,Female,B.Tech (ECE),1,67.76,5.22,01-04-2022,Active,Yes,No,,550000,173227.41,239272.59,Partial,Jaipur,Rajasthan
S0073,Vasatika Naidu,18,Male,B.Tech (ECE),2,88.75,5.24,28-07-2022,Active,Yes,No,,550000,107287.78,167712.22,Partial,Kolkata,West Bengal
S0074,Orinder Sane,19,Male,B.Tech (ECE),4,99.44,9.02,13-10-2023,Dropped,Yes,Yes,Placed,550000,157995.44,117004.56,Partial,Delhi,Delhi
S0075,Zarna Babu,22,Female,MBA,2,64.17,6.93,12-11-2023,Active,Yes,Yes,,450000,187845.24,37154.76,Partial,Cochin,Kerala
S0076,Zarna Sunder,23,Female,MBA,2,99.74,6,27-04-2025,Dropped,No,No,Not Placed,450000,197564.23,252435.77,Partial,Cochin,Kerala
S0077,Tanvi Pillay,18,Female,MBA,1,87.61,5.77,10-06-2024,Active,Yes,Yes,Placed,450000,183776.16,41223.84,Partial,Chandigarh,Punjab
S0078,Adweta Sahota,22,Female,MCA,2,64.73,6.53,04-10-2022,Active,No,Yes,,350000,309709.33,40290.67,Partial,Lucknow,Uttar Pradesh
S0079,Charvi Jayaraman,21,Male,BBA,1,92.18,6.34,03-03-2023,Dropped,Yes,Yes,,300000,160814.07,64185.93,Partial,Jaipur,Rajasthan
S0080,Chaaya Ganguly,18,Female,B.Tech (ECE),4,64.82,6.99,14-09-2022,Active,Yes,Yes,Not Placed,550000,156870.71,118129.29,Partial,Patna,Bihar
S0081,Arya Chanda,25,Female,B.Sc (Physics),4,65.54,6.28,28-04-2022,Graduated,No,Yes,Not Placed,220000,123822.63,96177.37,Partial,Lucknow,Uttar Pradesh
S0082,Anamika Bhasin,19,Male,B.Com,1,83.63,5.86,20-09-2024,Active,No,Yes,,250000,111523.35,138476.65,Partial,Bengaluru,Karnataka
S0083,Ekbal Lad,24,Female,B.Tech (ECE),3,71.04,7.2,09-04-2023,Graduated,No,No,,550000,187110.53,362889.47,Partial,Chandigarh,Punjab
S0084,Quincy Mody,23,Male,B.Sc (Physics),2,85.69,7.79,21-07-2022,Graduated,Yes,Yes,,220000,140694.38,24305.62,Partial,Ahmedabad,Gujarat
S0085,Nilima Mody,21,Male,B.Sc (Maths),1,74.62,8.25,03-04-2023,On Leave,Yes,No,,200000,139376.24,10623.76,Partial,Jaipur,Rajasthan
S0086,Balvan Pau,18,Male,MBA,1,73.6,7.96,30-08-2024,Dropped,Yes,Yes,Not Placed,450000,115343.84,222156.16,Partial,Hyderabad,Telangana
S0087,Chandran Iyer,20,Female,MBA,2,68.56,7.42,08-04-2025,On Leave,Yes,No,Placed,450000,328813.74,8686.26,Partial,Ahmedabad,Gujarat
S0088,Manya Date,23,Female,MBA,2,80.33,7.89,10-10-2023,Graduated,Yes,No,,450000,210222.89,14777.11,Partial,Bengaluru,Karnataka
S0089,Libni Viswanathan,18,Male,B.Tech (CSE),4,72.41,5.38,04-06-2024,Active,Yes,No,Not Placed,600000,428006.35,21993.65,Partial,Mumbai,Maharashtra
S0090,Samuel Cheema,21,Male,MCA,1,97.19,8.07,01-10-2022,Graduated,Yes,Yes,Placed,350000,198657.92,63842.08,Partial,Kolkata,West Bengal
S0091,Patrick Bhatt,25,Male,BBA,1,74.84,6.51,05-09-2021,Graduated,No,No,,300000,161794.99,138205.01,Partial,Chandigarh,Punjab
S0092,Ayushman Toor,18,Female,B.Tech (ECE),4,88.16,6.86,25-12-2024,On Leave,Yes,Yes,,550000,219773.94,55226.06,Partial,Lucknow,Uttar Pradesh
S0093,Gagan Devan,21,Female,B.Com,2,70.87,8.03,15-05-2022,Graduated,Yes,Yes,,250000,166653.41,20846.59,Partial,Chandigarh,Punjab
S0094,Janani Balan,19,Female,B.Tech (ECE),2,82.94,9.46,17-09-2024,On Leave,No,No,,550000,181070.73,368929.27,Partial,Bengaluru,Karnataka
S0095,Saksham Vaidya,22,Female,MBA,1,80.77,9.08,08-04-2024,Active,Yes,Yes,Not Placed,450000,257348.74,80151.26,Partial,Kolkata,West Bengal
S0096,Lopa Rajagopalan,25,Male,BBA,1,94.73,6.26,17-08-2024,On Leave,Yes,No,,300000,77830.48,72169.52,Partial,Bhopal,Madhya Pradesh
S0097,Veer Pall,21,Female,MCA,2,99.36,9.45,01-12-2023,Graduated,No,No,Not Placed,350000,213639.94,136360.06,Partial,Hyderabad,Telangana
S0098,Veer Brar,23,Female,B.Com,1,73.55,8.92,28-08-2023,Graduated,No,No,,250000,97894.37,152105.63,Partial,Chandigarh,Punjab
S0099,Idika Agrawal,21,Female,BBA,1,75.75,7.71,05-10-2022,On Leave,Yes,Yes,,300000,209367.09,15632.91,Partial,Chennai,Tamil Nadu
S0100,Andrew Deep,21,Male,B.Tech (ECE),3,89.91,8.77,17-03-2024,Dropped,Yes,No,,550000,207890.89,67109.11,Partial,Hyderabad,Telangana
S0101,Ucchal Chahal,19,Female,MCA,1,64.89,8.91,09-12-2024,On Leave,Yes,No,Placed,350000,71467.23,103532.77,Partial,Chandigarh,Punjab
S0102,Gaurangi Puri,22,Female,MCA,1,65.84,8.49,03-01-2024,Graduated,Yes,Yes,,350000,145785.08,29214.92,Partial,Ahmedabad,Gujarat
S0103,Maanas Patel,20,Male,B.Tech (ECE),2,96.49,6.89,16-06-2024,Graduated,Yes,No,,550000,295276.02,117223.98,Partial,Hyderabad,Telangana
S0104,Dalbir Mandal,21,Female,B.Tech (CSE),2,72.57,5.55,20-05-2022,On Leave,No,No,,600000,305872.84,294127.16,Partial,Lucknow,Uttar Pradesh
S0105,Turvi Tandon,20,Female,BBA,1,70,6.62,22-08-2024,Graduated,No,Yes,,300000,220127.24,79872.76,Partial,Kolkata,West Bengal
S0106,Ekanta Chand,25,Female,B.Com,2,60.31,7.31,05-01-2024,Active,Yes,No,,250000,80447.84,44552.16,Partial,Mumbai,Maharashtra
S0107,Baljiwan Natt,18,Female,MBA,1,88.42,8.46,15-08-2022,Active,Yes,Yes,,450000,121022.99,216477.01,Partial,Pune,Maharashtra
S0108,Saksham Butala,21,Female,B.Com,2,83.48,8.49,23-11-2021,Active,No,No,,250000,79926.44,170073.56,Partial,Pune,Maharashtra
S0109,Ishaan Raman,23,Male,B.Tech (CSE),2,63.3,7.38,29-09-2022,Active,No,Yes,,600000,520504.11,79495.89,Partial,Chennai,Tamil Nadu
S0110,Ekapad Nagy,22,Male,B.Com,4,77.6,6.52,30-01-2023,Graduated,Yes,No,,250000,162867.95,24632.05,Partial,Lucknow,Uttar Pradesh
S0111,Anjali Bhat,22,Male,B.Tech (CSE),4,85.46,7.83,17-04-2025,On Leave,Yes,No,,600000,216423.51,83576.49,Partial,Hyderabad,Telangana
S0112,Liam Dhingra,18,Male,B.Sc (Maths),2,89.43,8.84,25-03-2023,Dropped,Yes,No,,200000,48859.47,51140.53,Partial,Chennai,Tamil Nadu
S0113,Manya Kashyap,25,Female,MCA,1,82.32,6.69,15-06-2022,Active,No,Yes,Placed,350000,198241.18,151758.82,Partial,Chennai,Tamil Nadu
S0114,Anusha Chaudhuri,25,Male,B.Sc (Physics),1,79.95,9.36,04-11-2021,Graduated,Yes,Yes,,220000,93018.69,71981.31,Partial,Ahmedabad,Gujarat
S0115,Andrew Doshi,21,Male,B.Com,3,73.79,6.44,20-08-2022,Graduated,Yes,No,,250000,106453.73,81046.27,Partial,Hyderabad,Telangana
S0116,Kala Sharaf,22,Female,B.Sc (Physics),3,78.7,9.21,26-04-2025,Active,Yes,No,,220000,129252.48,35747.52,Partial,Kolkata,West Bengal
S0117,Bachittar Comar,24,Male,B.Com,2,94.94,7.11,13-01-2023,Active,Yes,Yes,,250000,186162.21,1337.79,Partial,Bhopal,Madhya Pradesh
S0118,Jalsa Seth,20,Female,B.Com,2,88.35,7.11,08-03-2024,Graduated,Yes,Yes,,250000,155298.08,32201.92,Partial,Jaipur,Rajasthan
S0119,Kalpit Magar,18,Female,B.Tech (ECE),3,91.5,5.21,10-06-2025,Active,Yes,Yes,,550000,268493.01,6506.99,Partial,Cochin,Kerala
S0120,Jasmit Sem,18,Male,BBA,1,81.19,5.27,21-12-2021,Dropped,Yes,Yes,,300000,91272.69,58727.31,Partial,Jaipur,Rajasthan
S0121,Gautami Kapoor,25,Female,B.Tech (CSE),3,97.26,8.02,15-10-2022,Graduated,No,No,,600000,375385.82,224614.18,Partial,Patna,Bihar
S0122,Nihal Bora,19,Female,B.Com,3,70.62,5.21,09-06-2024,Dropped,Yes,Yes,,250000,85793.81,101706.19,Partial,Patna,Bihar
S0123,Neha Kata,25,Male,B.Tech (ECE),3,60.98,7.38,12-12-2022,Graduated,Yes,No,,550000,318051.68,94448.32,Partial,Lucknow,Uttar Pradesh
S0124,Bhanumati Hora,23,Male,B.Sc (Physics),3,68.6,6.86,13-11-2021,On Leave,No,Yes,,220000,193553.73,26446.27,Partial,Bhopal,Madhya Pradesh
S0125,Xiti Sheth,20,Female,MBA,1,63.86,7.9,31-08-2024,Dropped,Yes,Yes,Not Placed,450000,212265.43,12734.57,Partial,Lucknow,Uttar Pradesh
S0126,Udyati Dutt,21,Male,B.Sc (Physics),4,85.29,8.22,24-08-2021,On Leave,No,Yes,,220000,105352.17,114647.83,Partial,Cochin,Kerala
S0127,Ekta Mann,22,Male,B.Tech (CSE),3,68.55,7.06,09-01-2022,Dropped,Yes,No,,600000,112583.86,187416.14,Partial,Cochin,Kerala
S0128,Amara Chaudry,22,Female,MCA,2,62.59,6.17,25-01-2025,On Leave,No,Yes,Placed,350000,159438.31,190561.69,Partial,Kolkata,West Bengal
S0129,Kamala Prakash,23,Female,B.Tech (CSE),2,64.87,5.21,20-11-2021,Graduated,Yes,Yes,,600000,196228.22,253771.78,Partial,Mumbai,Maharashtra
S0130,Naveen Luthra,22,Female,B.Sc (Physics),3,98.78,8.43,11-06-2024,Graduated,Yes,Yes,,220000,46150.31,63849.69,Partial,Cochin,Kerala
S0131,Anusha Manda,20,Male,BBA,2,65.5,5.95,05-05-2024,On Leave,Yes,No,,300000,135242.69,89757.31,Partial,Ahmedabad,Gujarat
S0132,Pahal Chaudhry,24,Male,B.Tech (CSE),4,82.72,5.79,07-06-2024,Active,Yes,Yes,Placed,600000,145094.9,304905.1,Partial,Lucknow,Uttar Pradesh
S0133,Kiaan Jha,23,Female,B.Com,3,79.29,7.4,16-11-2021,Dropped,Yes,Yes,,250000,38500.17,86499.83,Partial,Lucknow,Uttar Pradesh
S0134,Jairaj Lala,24,Female,B.Com,4,66.47,6.74,18-06-2024,Dropped,No,Yes,Not Placed,250000,186436.68,63563.32,Partial,Jaipur,Rajasthan
S0135,Wakeeta Dhar,23,Male,B.Com,1,93.64,7.56,14-01-2022,Dropped,Yes,No,,250000,98370.7,26629.3,Partial,Delhi,Delhi
S0136,Ekaraj Seshadri,25,Male,MBA,2,86.4,9.05,02-07-2022,Dropped,Yes,No,Placed,450000,326259.12,11240.88,Partial,Jaipur,Rajasthan
S0137,Chaitanya Rattan,21,Female,B.Sc (Physics),4,68.32,8.08,29-10-2023,On Leave,No,Yes,,220000,100589.38,119410.62,Partial,Patna,Bihar
S0138,Champak Aggarwal,19,Male,MCA,1,94.66,8.03,11-02-2024,Dropped,No,Yes,Placed,350000,109833.98,240166.02,Partial,Mumbai,Maharashtra
S0139,Vasatika Pandey,25,Female,MBA,2,98.94,6.05,06-03-2022,Active,Yes,Yes,Placed,450000,201715.16,23284.84,Partial,Kolkata,West Bengal
S0140,Anika Goda,18,Male,MBA,1,88.95,9.24,08-07-2023,Dropped,Yes,Yes,,450000,132842.33,204657.67,Partial,Patna,Bihar
S0141,Lakshit Bali,23,Female,B.Sc (Physics),3,85.87,6.68,25-06-2022,On Leave,No,Yes,,220000,105662.54,114337.46,Partial,Chennai,Tamil Nadu
S0142,Kalpit Thakkar,20,Female,B.Tech (CSE),4,75.34,6.9,16-09-2021,Active,Yes,Yes,Placed,600000,332063.06,117936.94,Partial,Kolkata,West Bengal
S0143,Ranbir Kanda,24,Female,BBA,2,86.97,7.36,24-07-2023,Graduated,Yes,No,,300000,131233.8,18766.2,Partial,Ahmedabad,Gujarat
S0144,Andrew Sen,24,Male,MCA,2,91.96,5.96,22-04-2022,Dropped,No,No,,350000,242117.24,107882.76,Partial,Delhi,Delhi
S0145,Logan Vasa,21,Male,B.Tech (ECE),2,93.52,7.1,28-02-2022,Dropped,Yes,Yes,,550000,222119.8,52880.2,Partial,Lucknow,Uttar Pradesh
S0146,Dakshesh Bail,25,Male,BBA,1,66.45,6.9,17-10-2024,On Leave,Yes,No,,300000,145224.1,79775.9,Partial,Patna,Bihar
S0147,Darika Banerjee,18,Male,MBA,2,76.7,7.6,09-05-2024,Graduated,Yes,No,Placed,450000,104210.27,233289.73,Partial,Delhi,Delhi
S0148,Parth Chaudhary,21,Male,B.Tech (ECE),2,92.88,6.6,04-11-2022,Active,Yes,No,,550000,290639.81,121860.19,Partial,Lucknow,Uttar Pradesh
S0149,Xalak Natarajan,18,Female,MCA,2,86.65,6.19,12-02-2025,On Leave,No,No,,350000,228879.43,121120.57,Partial,Hyderabad,Telangana
S0150,Upadhriti Mandal,18,Male,B.Com,2,79.25,5.97,30-10-2024,Active,Yes,No,,250000,49275.37,75724.63,Partial,Patna,Bihar
S0151,Gaurangi Subramanian,19,Male,MCA,2,80.14,6.19,13-06-2022,Dropped,Yes,No,,350000,101218.47,73781.53,Partial,Mumbai,Maharashtra
S0152,Chatresh Tripathi,22,Male,MBA,1,74.33,5.98,20-05-2024,Dropped,Yes,No,Placed,450000,127846.71,209653.29,Partial,Cochin,Kerala
S0153,Jagvi Wagle,25,Female,MBA,2,67.08,5.06,20-08-2022,Active,Yes,No,Placed,450000,166899.88,170600.12,Partial,Cochin,Kerala
S0154,Michael Ravel,20,Female,B.Sc (Physics),4,87.72,7.98,24-01-2022,Dropped,Yes,Yes,Not Placed,220000,94042.35,15957.65,Partial,Ahmedabad,Gujarat
S0155,Jagat Peri,21,Female,B.Com,1,68.99,6.7,14-06-2022,Graduated,Yes,No,,250000,103374.26,21625.74,Partial,Mumbai,Maharashtra
S0156,Oliver Gopal,18,Male,B.Sc (Physics),4,72.47,5.06,22-03-2022,On Leave,No,Yes,,220000,210051.98,9948.02,Partial,Chandigarh,Punjab
S0157,Gayathri Bir,18,Female,B.Sc (Maths),4,84.92,5.99,21-03-2024,Graduated,Yes,Yes,,200000,106066.26,43933.74,Partial,Chandigarh,Punjab
S0158,Varenya Das,25,Female,MBA,2,96.3,7.73,22-03-2023,Active,No,No,Not Placed,450000,387469.19,62530.81,Partial,Hyderabad,Telangana
S0159,Hiral Nanda,23,Female,B.Tech (CSE),3,75.61,7.36,20-03-2024,Graduated,Yes,Yes,,600000,309493.87,140506.13,Partial,Jaipur,Rajasthan
S0160,Yoshita Rout,18,Male,MCA,2,66.89,8.06,08-12-2022,Dropped,Yes,Yes,Placed,350000,153488.86,21511.14,Partial,Patna,Bihar
S0161,Rehaan Date,21,Male,B.Sc (Maths),4,79.38,6.74,02-01-2023,Graduated,Yes,Yes,Not Placed,200000,82246.97,67753.03,Partial,Cochin,Kerala
S0162,Nirja Morar,19,Male,BBA,1,86.64,7.69,29-05-2025,On Leave,No,No,,300000,104747.63,195252.37,Partial,Kolkata,West Bengal
S0163,Qadim Sharaf,18,Male,B.Tech (ECE),2,83.11,5.6,18-04-2024,On Leave,Yes,No,,550000,326990.07,85509.93,Partial,Delhi,Delhi
